province;section;town;name;address;borough;startBoard;endBoard
2;3;3;ESCUELA ES N°11/ES N°13;ESTEBAN ADROGUE Y AV.ESPORA 1300;17;1;11
2;3;3;COLEGIO NTRA.SEÑORA DEL CARMEN;PLAZA BROWN 68;17;24;31
2;3;3;COLEGIO IRLANDES;ESTRADA 151;17;50;54
2;3;3;ESCUELA EP N°6;SEGUI 710;17;55;64
2;3;3;ESCUELA EP N°12/ES N°32;JORGE 447;17;65;70
2;3;3;ESCUELA EP N°16/ES N18;BYNNON 1455;17;32;38
2;3;3;ESCUELA EP N°5;AMENEDO 1281;17;39;45
2;3;3;ESCUELA ES N°12;ESPORA 1428;17;12;23
2;3;3;COLEGIO PARROQ.STELLA MARIS;NOTHERN 230;17;46;49
2;3;3;ESCUELA ES N°31/EP N°7;FERRE 479;18;71;81
2;3;3;ESCUELA EP N°27;ECHEVERRIA 44;18;82;91
2;3;3;ESCUELA ES N°1;SANCHEZ 2350;18;92;101
2;3;3;INSTITUTO MODELO MARMOL;BYNNON 2355;18;117;124
2;3;3;INSTITUTO REGINA APOSTOLARUM;REPUBLICA ARGENTINA 1414;18;125;130
2;3;3;COLEGIO ROSARIO VERA PEÑALOZA;AMENEDO 2440;18;134;140
2;3;3;ESCUELA EDUC.ESPECIAL N°506;SGO.DEL ESTERO 985;18;131;133
2;3;3;JARDIN DE INFANTES N°905;MOLINA 750;18;108;113
2;3;3;JARDIN DE INFANTES N°947;CANALE 2514;18;114;116
2;3;3;ESCUELA ES N°18;ROSALES 1980;18;141;146
2;3;3;COLEGIO SECUNDARIO DE LA REINA;BYNNON 2303;18;150;152
2;3;3;ESCUELA ESPEC.NUEVO AMANECER;ROSALES 3180;18;153;156
2;3;3;ESCUELA ES N°22;BYNNON 3781;18;102;107
2;3;3;ESCUELA EP N°14;BYNNON 3781;18;147;149
2;3;3;ESCUELA EP N°15/ES N°40;LA TORCAZA 849;18A;157;168
2;3;3;ESCUELA EP N°18;LA PAMPA 755;18A;169;180
2;3;3;ESCUELA EP N°36;PASAJE CHILE 6435;18A;186;197
2;3;3;ESCUELA EP N°32/ES N°61;CATAMARCA 2310;18A;206;217
2;3;3;ESCUELA EP N°48;SAN JUAN 1903;18A;218;224
2;3;3;ESCUELA EP N°72/ES N°60;SANTA ANA E/MURATURE Y RAMIREZ;18A;225;240
2;3;3;ESCUELA EP N°76/ES N°64;PIEDRABUENA 5775;18A;241;253
2;3;3;ESCUELA EDUC.ESPECIAL N°505;COLON 3534;18A;303;307
2;3;3;ESCUELA ESB N°59/EP N°71;SAN JUAN 1718;18A;254;261
2;3;3;ESCUELA ESB N°59/EP N°71;SAN JUAN 1718;18A;286;287
2;3;3;INSTITUTO VIDA CRISTIANA(EP);JORGE 4813;18A;270;280
2;3;3;ESCUELA ES N° 15;LA CALANDRIA 1151;18A;262;269
2;3;3;ESCUELA ESB N°67;ROSALES E/MENDOZA Y SAN JUAN;18A;281;283
2;3;3;JARDIN DE INFANTES N°949;LA CALANDRIA N° 1109;18A;284;285
2;3;3;JARDIN DE INFANTES N°955;RAMIREZ 5770;18A;288;290
2;3;3;ESCUELA ES N°63/EP N°58;EL GORRION 2766;18A;293;298
2;3;3;ESCUELA ES N°50;RIO NEGRO 756;18A;181;185
2;3;3;JARDIN DE INFANTES JUANA MANSO;ALVEAR 4743;18A;291;292
2;3;3;JARDIN DE INF.VALENTINA VERDUC;VERTIZ 4666;18A;299;302
2;3;3;ESCUELA EP N°58/ES N°47;PTE.ILLIA 5655;18A;198;205
2;3;3;ESCUELA EP N°53/ES N°56;CERRETTI 2275;19;308;316
2;3;3;ESCUELA EP N°22/EM N°9;AZOPARDO 2675;19;317;325
2;3;3;INSTITUTO MANTOVANI;MANTOVANI 672;19;326;333
2;3;3;ESCUELA EP N°40/ESB N°72;OLEGARIO ANDRADE 2754;19;334;345
2;3;3;ESCUELA EP N°25;ARTURO ILLIA 2198;19;346;352
2;3;3;ESCUELA EP N°63;2 DE ABRIL 2910;19;353;361
2;3;3;ESCUELA EP N°54;COLON 3382;19;362;373
2;3;3;ESCUELA EP N°46/ES N°62;SAN MARCOS 1735;19;382;392
2;3;3;INSTITUTO JUAN PABLO I;PTE PERON N°3240;19;397;402
2;3;3;ESCUELA EP N°19/ES N°78;EL CHIRIPA 623;19;403;414
2;3;3;ESCUELA EP N°50/ES N°27;ITALIA 1759;19;415;425
2;3;3;ESCUELA ES N°9;SARMIENTO 2189;19;430;440
2;3;3;INSTITUTO ALMAFUERTE;FALUCHO 3220;19;441;443
2;3;3;ESCUELA EP N°44;BALBOA N°3300;19;444;455
2;3;3;ESCUELA EP N°28;PARANA 190;19;456;465
2;3;3;ESCUELA ES N°14;SARCIONE 2639;19;466;476
2;3;3;ESCUELA EP N°42/ES N°29;J.HERNANDEZ 3486;19;525;535
2;3;3;ESCUELA EP N°52/EES N°41;CRUZ DEL SUR N°1272;19;487;497
2;3;3;ESCUELA EP N°78/ES N°38;O.RICO Y MORGANTI S/N°;19;498;506
2;3;3;ESCUELA EP N°80/ES N°46;ACOSTA VILLAFAÑE N°642;19;477;486
2;3;3;ESCUELA ES N°28;CAPILLA DEL SEÑOR 1656;19;507;512
2;3;3;COLEGIO EL BOSQUE;AVDA.SAN MARTIN 3883;19;513;518
2;3;3;INSTITUTO CERVANTES;CERVANTES 3380;19;558;562
2;3;3;NUEVO COLEGIO BURZACO;OLLEROS 1118;19;519;524
2;3;3;ESCUELA EP N°41;CALLE 26 MANZANA 21;19;536;547
2;3;3;COLEGIO DEL SALVADOR;ALEM 2447;19;374;381
2;3;3;COLEGIO JOSE MANUEL ESTRADA;AV.SAN MARTIN 3701;19;548;557
2;3;3;ESCUELA ES N°30;RIO LIMAY(EX 9) N° 1062;19;426;429
2;3;3;COLEGIO NTRA.SRA.DE LOURDES;ALSINA 3100;19;393;396
2;3;3;ESCUELA EP N°3;25 DE MAYO 876;20;563;570
2;3;3;ESCUELA ES N°17;PETORUTTI 1705;20;582;585
2;3;3;ESCUELA EP N°13;R.ROJAS 1252;20;586;594
2;3;3;ESCUELA ES N°43;BERMUDEZ 970;20;571;574
2;3;3;ESCUELA INMACULADA CONCEPCION;COLON 444;20;608;618
2;3;3;COLEGIO SAN JOSE;ESPORA 3355;20;619;628
2;3;3;ESCUELA EP N°2/ES N°39;PTE. PERON (EX GORRITI) 367;20;639;647
2;3;3;ESCUELA EP N°30/ES N°44;BUNGE 3402;20;648;655
2;3;3;ESCUELA EP N°34;RETIRO ESQ ITUZAINGO;20;656;660
2;3;3;ESCUELA EP N°59;SAN PABLO 1966;20;606;607
2;3;3;ESCUELA ES N°2;PELLEGRINI 497;20;595;605
2;3;3;ESCUELA AMANCIO ALCORTA;A.ALCORTA 980;20;634;638
2;3;3;ESCUELA EP N°77/ES N°45;COMB.MTE.SANTIAGO N° 636;20;575;581
2;3;3;COLEGIO DE LA CAMPIÑA;ROCA N° 1225;20;629;633
2;3;3;ESCUELA EP N°17;P.ECHAGUE 347;20A;661;670
2;3;3;ESCUELA EP N°20;SAN PABLO 1235;20A;736;742
2;3;3;ESCUELA EP N°39/ESBC N°42;INT.PINTOS 2125;20A;671;679
2;3;3;ESCUELA ES N°6;RETIRO 1550;20A;680;688
2;3;3;ESCUELA EP N°61;POLONIA 2617;20A;698;706
2;3;3;ESCUELA EP N°49;YATAY Y ALGARROBO S/N°;20A;710;715
2;3;3;ESCUELA EP N°56/ES N°24 ANEXO;ARENALES 2306;20A;722;727
2;3;3;COLEGIO PRESB. A.RIPARI(EP/ES);VIDAL Y VIERA;20A;716;721
2;3;3;ESCUELA EP N°55/ES N°51;PRIETO 1100;20A;728;735
2;3;3;ESCUELA EDUC.ESPECIAL N°509;POLICASTRO 1477;20A;707;709
2;3;3;ESCUELA ES N°51;PRIETO N° 1119;20A;743;746
2;3;3;ESCUELA ES N°21;ALAMO 3551;20A;689;697
2;3;3;ESCUELA EP N°9/ES N°17;BURGWARDT 1015;21;747;758
2;3;3;COLEGIO JESUS MARIA(EP/ES);13 1525;21;767;778
2;3;3;ESCUELA EST N°1;ARIAS Y BOLIVAR S/N°;21;784;790
2;3;3;ESCUELA EP N°23/ES N°55;AGUIRRE 2650;21;797;806
2;3;3;ESCUELA EP N°26;CAROLA LORENZINI 1846;21;813;819
2;3;3;ESCUELA EP N°47/EM N°10;COIHUE E/FINOCHIETO Y MERCEDES;21;820;827
2;3;3;ESCUELA EP N°37/ES N°26;SCALABRINI ORTIZ 2561;21;834;840
2;3;3;ESCUELA EP N°60/ES N°64;ROSARIO Y BOLIVAR S/N°;21;841;852
2;3;3;ESCUELA EP N°33/ES N°6;LOS STUDS 3339;21;853;862
2;3;3;ESCUELA EP N°43/ES N°23;PTE.CASTILLO 2359;21;883;892
2;3;3;ESCUELA EP N°79/ES N°36;LANGUENHEIN 1616;21;791;796
2;3;3;ESCUELA EP N°21/ES N°76;13 2150;21;863;873
2;3;3;COLEGIO DEL SUR;SARMIENTO 235;21;874;875
2;3;3;ESCUELA ES N°16;T.FELS 2060;21;876;882
2;3;3;ESCUELA EP N°81;ENTRE RIOS 320;21;759;766
2;3;3;ESCUELA ES N°5;PTE.RIVADAVIA 1851;21;893;895
2;3;3;ESCUELA ES N°10;MONTE SANTIAGO 1790;21;896;903
2;3;3;COLEGIO DEL PRADO;RICARDO DAVEL 2020;21;807;812
2;3;3;COLEGIO SAN MARCOS;SARMIENTO 1050;21;779;783
2;3;3;COLEGIO MARIANO MORENO;SAN MARTIN 173;21;828;833
2;3;3;ESCUELA SENDAS VERDES;AV.ESPORA 5298;21A;904;911
2;3;3;ESCUELA EP N°8/ES N°57;LAHILLE E/VUCETICH Y M.ACOSTA;21A;912;919
2;3;3;ESCUELA EP N°11;J.B.JUSTO 887;21A;920;929
2;3;3;ESCUELA EP N°64/ES N°52;LAPRIDA N°337;21A;930;941
2;3;3;ESCUELA EP N°35/ES N°49;R.OBLIGADO 249;22;942;950
2;3;3;COLEGIO PARROQUIAL SANTA ANA;SOLDI Y A.DEL VALLE S/N°;22;951;956
2;3;3;ESCUELA EP N°24;CAMPBELL Y FCO.BEIRO S/N°;22;957;966
2;3;3;ESCUELA EP N°4/ES N°3 ANEXO;A. DEL VALLE 480;22;977;984
2;3;3;ESCUELA EP N°45;FRANKLIN 1313;22;988;995
2;3;3;ESCUELA EP N°62/ES N°50;DI CARLO Y PCIA.DE BS.AIRES;22;996;1007
2;3;3;ESCUELA EP N°69/ES N°57;GORDILLO 2909;22;1014;1019
2;3;3;ESCUELA ES N°7;LIB.GRAL.SAN MARTIN 663;22;1020;1029
2;3;3;ESCUELA EST N°2;CAMPBELL ESQ.FAUSTO;22;967;976
2;3;3;COLEGIO SUPERIOR VICTORIA;JULIAN ALVAREZ 292;22;1030;1040
2;3;3;ESCUELA ES N°3;ALEM 680 Y A.DEL VALLE;22;1008;1013
2;3;3;ESCUELA ES N°59;FRANKLIN 1356;22;985;987
2;3;3;ESCUELA EL AVE MARIA;BOLLINI 451;22A;1041;1052
2;3;3;ESCUELA EP N°68/ES N°48;AV.EVA PERON E/15 Y 17;22A;1053;1060
2;3;3;ESCUELA EP N°66/ES N°54;AV.EVA PERON E/5 Y 9;22A;1071;1081
2;3;3;ESCUELA EP N°70/ES N°54;PJE.CALAFATE 545;22A;1093;1104
2;3;3;ESCUELA EP N°67/ES N°65;PRIMAVERA 5690;22A;1112;1119
2;3;3;ESCUELA EP N°38/EM N°8 ANEXO;SALABERRY E/CHARCAS Y RAWSON;22A;1136;1146
2;3;3;ESCUELA EP N°75;17 E/5 Y 9-MANZ. 23;22A;1151;1155
2;3;3;INSTITUTO SANTA ROSA;AV.LACAZE 5983;22A;1156;1166
2;3;3;ESCUELA ES N°4;MORAN 550;22A;1167;1174
2;3;3;ESCUELA EST N°3;17 DE OCTUBRE 650;22A;1120;1131
2;3;3;ESCUELA EP N°73;LINIERS Y MONTEVERDE S/N°;22A;1175;1186
2;3;3;ESCUELA EP N°74/ES N°66;CALLE 10 ESQ.2-MANZ. 37;22A;1082;1092
2;3;3;ESCUELA ES N°47/EP N°75;CALLE 17 MANZ.23;22A;1132;1135
2;3;3;ESCUELA EP N°10;SALABERRY 1088;22A;1061;1070
2;3;3;CTRO.EDUC.COMPLEMENTARIO N°803;RAWSON Y SALABERRY;22A;1147;1150
2;3;3;INSTITUTO BUENOS AIRES;AMANCIO ALCORTA 3949;22A;1105;1111
2;3;3;INSTITUTO SAN PIO X;AV.LACAZE 3963;22A;1187;1189
2;3;3;ESCUELA EP N°29/ES N°37;NARDO 6406;22B;1190;1200
2;3;3;ESCUELA EP N°57/ES N°46;LA CALANDRIA 3178;22B;1201;1208
2;3;3;INSTITUTO FRAY MAMERTO ESQUIU;ALELI 6596;22B;1209;1218
2;3;3;ESCUELA EP N°51/EES N°58;LA CALANDRIA 2950;22B;1219;1228
2;3;3;ESCUELA ES N°8;SALABERRY 345;22B;1229;1232
2;3;4;E NORMAL SUPERIOR P ALEMANDRI;AV.BELGRANO 355;23;1;10
2;3;4;ESCUELA ES N°13/ES N° 14;BERUTI 263 ESQ.BARCALA;23;11;20
2;3;4;ESCUELA EST N°8;LAVALLE 43;23;21;24
2;3;4;ESCUELA EP N°46;LAVALLE 131;23;25;32
2;3;4;ESCUELA EST N°5;J.B.PALAA 747;23;33;36
2;3;4;ESCUELA EP N°42;BELGRANO 1378;23;37;40
2;3;4;ESCUELA EST N°7;ING.MARCONI 745;24;41;47
2;3;4;ESCUELA EP N°1;AV.BME.MITRE 750;24;53;62
2;3;4;ESCUELA EP N°13;25 DE MAYO 371;24;63;70
2;3;4;INSTITUTO FRENCH;MARCONI 641;24;48;52
2;3;4;ESCUELA EP N°25;SUAREZ 148;25;71;80
2;3;4;ESCUELA EP N°31;LAMADRID 665;25;81;86
